venue,city,host_country
"Bready Cricket Club, Magheramason",Bready,Ireland
Bready,Derry,Ireland
ICC Academy,Dubai,UAE
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman
Amini Park,Port Moresby,Other
Sportpark Maarschalkerweerd,Utrecht,Netherlands
Adelaide Oval,Adelaide,Australia
Melbourne Cricket Ground,Melbourne,Australia
Manuka Oval,Canberra,Australia
Perth Stadium,Perth,Australia
Kyambogo Cricket Oval,Kampala,Uganda
Lugogo Cricket Oval,Kampala,Uganda
King George V Sports Ground,Castel,Other
College Field,St Peter Port,Other
Kingsmead,Durban,South Africa
St George's Park,Port Elizabeth,South Africa
Kinrara Academy Oval,Kuala Lumpur,Malaysia
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,Other
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India
Hagley Oval,Christchurch,New Zealand
"Providence Stadium, Guyana",Providence,West Indies
Indian Association Ground,Singapore,Singapore
Sportpark Westvliet,The Hague,Other
Pallekele International Cricket Stadium,Kandy,Sri Lanka
Zahur Ahmed Chowdhury Stadium,Chattogram,Bangladesh
"White Hill Field, Sandys Parish",Hamilton,New Zealand
National Stadium,Hamilton,New Zealand
Bermuda National Stadium,Hamilton,New Zealand
United Cricket Club Ground,Windhoek,Namibia
ICC Academy Ground No 2,Dubai,UAE
Dubai International Cricket Stadium,Dubai,UAE
La Manga Club Bottom Ground,Murcia,Other
Maharashtra Cricket Association Stadium,Pune,India
"National Cricket Stadium, Grenada",St George's,West Indies
Desert Springs Cricket Ground,Almeria,Other
Tribhuvan University International Cricket Ground,Kirtipur,Nepal
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Oman
Terdthai Cricket Ground,Bangkok,Thailand
Sydney Cricket Ground,Sydney,Australia
Pierre Werner Cricket Ground,Walferdange,Other
Rawalpindi Cricket Stadium,,Other
University Oval,Dunedin,New Zealand
Sky Stadium,Wellington,New Zealand
Moara Vlasiei Cricket Ground,,Other
Boland Park,Paarl,South Africa
"Trent Bridge, Nottingham",Nottingham,England
"Headingley, Leeds",Leeds,England
"Old Trafford, Manchester",Manchester,England
Narendra Modi Stadium,Ahmedabad,India
"Sophia Gardens, Cardiff",Cardiff,Wales
"The Rose Bowl, Southampton",Southampton,England
"The Wanderers Stadium, Johannesburg",Johannesburg,South Africa
"SuperSport Park, Centurion",Centurion,South Africa
"The Village, Malahide, Dublin",Dublin,Ireland
"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland
"Coolidge Cricket Ground, Antigua",Coolidge,Other
"Kensington Oval, Bridgetown, Barbados",Bridgetown,West Indies
Harare Sports Club,Harare,Zimbabwe
Wanderers,Windhoek,Namibia
"Wanderers Cricket Ground, Windhoek",Windhoek,Namibia
"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal
"R Premadasa Stadium, Colombo",Colombo,Sri Lanka
"National Cricket Stadium, St George's, Grenada",St George's,West Indies
"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Gros Islet,West Indies
"Manuka Oval, Canberra",Canberra,Australia
"Scott Page Field, Vinor",Prague,Other
"National Sports Academy, Sofia",Sofia,Other
Marsa Sports Club,Marsa,Other
Bayer Uerdingen Cricket Ground,Krefeld,Other
"Castle Avenue, Dublin",Dublin,Ireland
"Bready Cricket Club, Magheramason, Bready",Bready,Ireland
"Svanholm Park, Brondby",Brondby,Other
Gucherre Cricket Ground,Albergaria,Other
Gahanga International Cricket Stadium. Rwanda,Kigali City,Other
Kerava National Cricket Ground,Kerava,Other
"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Scotland
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,UAE
Sharjah Cricket Stadium,Sharjah,UAE
Entebbe Cricket Oval,Entebbe,Other
"Desert Springs Cricket Ground, Almeria",Almeria,Other
"Moara Vlasiei Cricket Ground, Ilfov County",Ilfov County,Other
"Edgbaston, Birmingham",Birmingham,England
"County Ground, Bristol",Bristol,England
"Sawai Mansingh Stadium, Jaipur",Jaipur,Other
"JSCA International Stadium Complex, Ranchi",Ranchi,India
"Eden Gardens, Kolkata",Kolkata,India
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,India
"Arun Jaitley Stadium, Delhi",Delhi,India
"Barabati Stadium, Cuttack",Cuttack,India
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Visakhapatnam,India
"Saurashtra Cricket Association Stadium, Rajkot",Rajkot,India
Happy Valley Ground,Episkopi,Other
"ICC Academy, Dubai",Dubai,UAE
Integrated Polytechnic Regional Centre,Kigali City,Other
University of Lagos Cricket Oval,Lagos,Other
"West End Park International Cricket Stadium, Doha",Doha,Other
"Sir Vivian Richards Stadium, North Sound, Antigua",North Sound,West Indies
"National Stadium, Karachi",Karachi,Pakistan
"Gaddafi Stadium, Lahore",Lahore,Pakistan
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,USA
"GMHBA Stadium, South Geelong, Victoria",Geelong,Other
"Bellerive Oval, Hobart",Hobart,Australia
"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Australia
"United Cricket Club Ground, Windhoek",Windhoek,Namibia
"College Field, St Peter Port",St Peter Port,Other
"Sportpark Westvliet, The Hague",The Hague,Other
"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe
"Windsor Park, Roseau, Dominica",Roseau,West Indies
Carrara Oval,Carrara,Other
"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,Other
"Warner Park, Basseterre, St Kitts",Basseterre,West Indies
"Sabina Park, Kingston, Jamaica",Kingston,West Indies
"Meersen, Gent",Ghent,Other
"Royal Brussels Cricket Club Ground, Waterloo",Waterloo,Other
Tikkurila Cricket Ground,Vantaa,Other
"Indian Association Ground, Singapore",Singapore,Singapore
Bulawayo Athletic Club,Bulawayo,Zimbabwe
"UKM-YSD Cricket Oval, Bangi",Bangi,Other
"Bay Oval, Mount Maunganui",Mount Maunganui,New Zealand
"Hagley Oval, Christchurch",Christchurch,New Zealand
"University Oval, Dunedin",Dunedin,New Zealand
"John Davies Oval, Queenstown",Queenstown,New Zealand
Lisicji Jarak Cricket Ground,Belgrade,Other
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,Other
"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",Nagpur,India
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India
"Greenfield International Stadium, Thiruvananthapuram",Thiruvananthapuram,India
"Barsapara Cricket Stadium, Guwahati",Guwahati,India
"Holkar Cricket Stadium, Indore",Indore,India
"Gymkhana Club Ground, Nairobi",Nairobi,Kenya
"Willowmoore Park, Benoni",Benoni,South Africa
"Independence Park, Port Vila",Port Vila,Other
Sano International Cricket Ground,Sano,Other
"Riverside Ground, Chester-le-Street",Chester-le-Street,England
Rawalpindi Cricket Stadium,Rawalpindi,Pakistan
"Wankhede Stadium, Mumbai",Mumbai,India
"Maharashtra Cricket Association Stadium, Pune",Pune,India
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,India
"Gahanga International Cricket Stadium, Rwanda",Kigali City,Other
"Zahur Ahmed Chowdhury Stadium, Chattogram",Chattogram,Bangladesh
"St Albans Club, Buenos Aires",Buenos Aires,Other
"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Other
"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Other
"Mission Road Ground, Mong Kok, Hong Kong",Mong Kok,Other
Santarem Cricket Ground,Albergaria,Other
Europa Sports Complex,Gibraltar,Other
"Solvangs Park, Glostrup",Copenhagen,Other
"Kingsmead, Durban",Durban,South Africa
"Sportpark Het Schootsveld, Deventer",Deventer,Other
"Goldenacre, Edinburgh",Edinburgh,Scotland
"Amini Park, Port Moresby",Port Moresby,Other
"Bayuemas Oval, Kuala Lumpur",Kuala Lumpur,Malaysia
"Malahide, Dublin",Dublin,Ireland
"Kennington Oval, London",London,England
"St George's Park, Gqeberha",Gqeberha,Other
"McLean Park, Napier",Napier,New Zealand
"Eden Park, Auckland",Auckland,New Zealand
"Seddon Park, Hamilton",Hamilton,New Zealand
"Sky Stadium, Wellington",Wellington,New Zealand
"Shaheed Veer Narayan Singh International Stadium, Raipur",Raipur,Other
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,India
"GB Oval, Szodliget",Szodliget,Other
Zhejiang University of Technology Cricket Field,Hangzhou,Other
"National Stadium, Hamilton",Hamilton,New Zealand
"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,Other
Mulpani Cricket Ground,Kathmandu,Nepal
St Georges Quilmes,,Other
Udayana Cricket Ground,Bali,Other
"Grand Prairie Stadium, Dallas",Dallas,Other
"Nassau County International Cricket Stadium, New York",New York,Other
"Arnos Vale Ground, Kingstown, St Vincent",Kingstown,West Indies
"Terdthai Cricket Ground, Bangkok",Bangkok,Thailand
University of Doha for Science and Technology,Doha,Other
"Achimota Senior Secondary School A Field, Accra",Accra,Other
"Achimota Senior Secondary School B Field, Accra",Accra,Other
Prairie View Cricket Complex,Houston,Other
La Manga Club Top Ground,Murcia,Other
Los Reyes Polo Club,Guacima,Other
Dreux Sport Cricket Club,Dreux,Other
Roma Cricket Ground,Spinaceto,Other
"Simar Cricket Ground, Rome",Rome,Other
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",Gwalior,Other
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India
"King George V Sports Ground, Castel",Castel,Other
"Guernsey Rovers Athletic Club Ground, Port Soif",Port  Soif,Other
"Sikh Union Club Ground, Nairobi",Nairobi,Kenya
"Saxton Oval, Nelson",Nelson,New Zealand
"Mladost Cricket Ground, Zagreb",Zagreb,Other
"Faleata Oval No 2, Apia",Apia,Other
"Sportpark Maarschalkerweerd, Utrecht",Utrecht,Netherlands
"Selangor Turf Club, Kuala Lumpur",Kuala Lumpur,Malaysia
"YSD-UKM Cricket Oval, Bangi",Bangi,Other
"Gymkhana Club Ground, Dar-es-Salaam",Dar-es-Salaam,Other
University of Dar-es-Salaam Ground,Dar-es-Salaam,Other
"Yeonhui Cricket Ground, Incheon",Incheon,Other
"Maple Leaf North-West Ground, King City",King City,Canada
Rangiri Dambulla International Stadium,Dambulla,Sri Lanka
Sao Fernando Polo and Cricket Club,Seropedica,Other
Gelephu International Cricket Ground,Gelephu,Other
"Ruaraka Sports Club Ground, Nairobi",Nairobi,Kenya
"TCA Oval, Blantyre",Blantyre,Other
Jinja Cricket Ground,Jinja,Other
"Nigeria Cricket Federation Oval 1, Abuja",Abuja,Other
"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Other
"St George's College Ground, Buenos Aires",Buenos Aires,Other
Singapore National Cricket Ground,Singapore,Singapore
"Namibia Cricket Ground, Windhoek",Windhoek,Namibia
"Marrara Stadium, Darwin",Darwin,Australia
"Cazaly's Stadium, Cairns",Cairns,Australia
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",New Chandigarh,India
"Clayton Panama, Panama City",Panama City,Other
"Jimmy Powell Oval, Cayman Islands",George Town,Other
"Velden Cricket Ground, Latschach",Latschach,Other
"Stars Arena Hofstade, Zemst",Zemst,Other
"Titwood, Glasgow",Glasgow,Scotland
"Ballpark Ground, Graz",Graz,Other
"Grainville, St Saviour",St Saviour,Other
"Ishoj Cricket Club, Vejledalen",Ishoj,Other
Koge Cricket Club,Koge,Other
"Maple Leaf North-East Ground, King City",King City,Canada
"Sportpark Westvliet, Voorburg",The Hague,Other
"Vassil Levski National Sports Academy, Sofia",Sofia,Other
Estonian National Cricket and Rugby Field,Tallinn,Other
"Botkyrka Cricket Center, Stockholm",Stockholm,Other
"Stubberudmyra Cricket Ground, Oslo",Oslo,Other
Malkerns Country Club oval,Malkerns,Other
"Takashinga Sports Club, Highfield, Harare",Harare,Zimbabwe
"Bir Sreshtho Flight Lieutenant Matiur Rahman Stadium, Chattogram",Chattogram,Bangladesh
Happy Valley Ground 2,Episkopi,Other
New Wanderers Stadium,Johannesburg,South Africa
Kennington Oval,London,England
Western Australia Cricket Association Ground,Perth,Australia
Brabourne Stadium,Mumbai,India
Jade Stadium,Christchurch,New Zealand
Gymkhana Club Ground,Nairobi,Kenya
"Civil Service Cricket Club, Stormont",Belfast,Ireland
Trent Bridge,Nottingham,England
Maple Leaf North-West Ground,King City,Canada
AMI Stadium,Christchurch,New Zealand
Providence Stadium,Guyana,West Indies
"Beausejour Stadium, Gros Islet",St Lucia,West Indies
"Punjab Cricket Association Stadium, Mohali",Chandigarh,Other
"Sir Vivian Richards Stadium, North Sound",Antigua,West Indies
OUTsurance Oval,Bloemfontein,South Africa
De Beers Diamond Oval,Kimberley,South Africa
Moses Mabhida Stadium,Durban,South Africa
Pallekele International Cricket Stadium,,Sri Lanka
Stadium Australia,Sydney,Australia
Shere Bangla National Stadium,Mirpur,Bangladesh
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Hambantota,Sri Lanka
Mombasa Sports Club Ground,,Kenya
Subrata Roy Sahara Stadium,Pune,India
"Sardar Patel Stadium, Motera",Ahmedabad,India
ICC Global Cricket Academy,Dubai,UAE
Wanderers Cricket Ground,Windhoek,Namibia
Queens Sports Club,Bulawayo,Zimbabwe
"Arnos Vale Ground, Kingstown",St Vincent,West Indies
Sharjah Cricket Stadium,,UAE
Zahur Ahmed Chowdhury Stadium,Chittagong,Bangladesh
Sylhet Stadium,,Other
"Windsor Park, Roseau",Dominica,West Indies
P Sara Oval,Colombo,Sri Lanka
"Grange Cricket Club Ground, Raeburn Place",Edinburgh,Scotland
Himachal Pradesh Cricket Association Stadium,Dharmasala,India
Himachal Pradesh Cricket Association Stadium,Dharamsala,India
Feroz Shah Kotla,Delhi,India
"Mission Road Ground, Mong Kok",Hong Kong,Other
Tony Ireland Stadium,Townsville,Australia
Sheikh Abu Naser Stadium,Khulna,Bangladesh
Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh
Shere Bangla National Stadium,Dhaka,Bangladesh
